#ID field umap_x umap_y z z_type z_16 z_84 ssfr_50 ssfr_16 ssfr_84 SFR_100_50 SFR_100_16 SFR_100_84 mwa_50 mwa_16 mwa_84 mstar_50 mstar_16 mstar_84 AV_50 AV_16 AV_84
8962 gds -0.655 -1.309 3.2400 phot 3.0570 3.4200 -8.843 -9.028 -8.614 0.063 -0.051 0.191 0.526 0.313 0.858 8.907 8.815 8.979 0.150 0.061 0.245
9513 gds -2.631 0.301 1.7100 phot 1.6550 1.8740 -9.326 -9.399 -9.164 0.518 0.461 0.589 1.677 1.058 1.920 9.845 9.757 9.887 0.490 0.419 0.570
9766 gds -3.102 -4.478 0.9500 phot 0.8880 4.1750 -10.306 -36.909 -9.476 -2.302 -25.265 -1.393 2.975 2.203 4.030 8.143 8.054 8.299 0.740 0.384 1.030
10060 gds -6.225 -3.096 4.6800 phot 4.3220 4.7470 -7.939 -7.964 -7.924 -0.277 -0.521 -0.034 0.030 0.018 0.051 7.722 7.583 7.860 0.118 0.060 0.212
10325 gds -3.072 -0.042 2.7000 phot 2.3650 2.7920 -9.025 -9.161 -8.821 0.711 0.625 0.872 0.835 0.492 1.180 9.747 9.693 9.806 0.664 0.532 0.810
10838 gds -6.288 -3.128 4.7400 phot 4.6210 4.7990 -7.990 -7.994 -7.984 -0.940 -1.071 -0.776 0.003 0.002 0.004 7.188 7.130 7.284 0.037 0.017 0.069
10983 gds -3.335 -0.240 1.7700 phot 1.7530 2.0800 -42.469 -177.066 -14.059 -32.678 -171.744 -3.150 2.807 2.237 3.259 10.638 10.586 10.681 1.779 1.599 1.979
11136 gds -1.646 -0.288 3.9200 phot 3.8390 4.1870 -8.561 -8.761 -8.321 0.027 -0.084 0.179 0.278 0.158 0.444 8.599 8.489 8.701 0.099 0.038 0.199
11283 gds -3.321 -4.728 3.8100 phot 3.6260 4.0460 -8.874 -9.007 -8.655 0.016 -0.075 0.164 0.562 0.334 0.803 8.900 8.825 8.953 0.133 0.070 0.239
12463 gds -2.683 -4.435 3.8000 phot 3.5300 3.9120 -8.778 -8.911 -8.603 -0.479 -0.558 -0.364 0.436 0.287 0.625 8.301 8.228 8.372 0.071 0.025 0.144
13064 gds -7.082 -2.461 3.6600 phot 3.5680 4.1570 -8.968 -9.049 -8.769 0.438 0.344 0.594 0.758 0.472 0.857 9.394 9.327 9.455 1.121 0.908 1.333
13124 gds -0.666 -1.301 3.4100 phot 2.8190 3.3650 -20.165 -43.659 -11.676 -11.067 -34.523 -2.939 0.402 0.323 0.501 8.585 8.530 8.631 0.045 0.013 0.118
14093 gds -2.557 0.197 2.7000 phot 2.3030 2.8070 -9.049 -9.194 -8.850 0.516 0.389 0.647 0.759 0.489 1.147 9.561 9.499 9.610 0.419 0.312 0.539
14332 gds -6.940 -2.257 5.2400 phot 5.0440 5.4860 -8.540 -8.700 -8.339 0.389 0.255 0.524 0.230 0.142 0.344 8.929 8.841 9.010 0.141 0.073 0.217
15117 gds -6.313 -3.234 4.7400 phot 4.4850 4.7880 -7.939 -7.961 -7.928 -0.115 -0.421 0.134 0.022 0.011 0.037 7.885 7.686 8.013 0.186 0.130 0.287
